timestamp,yaw,pitch,distance,distance_noise,x_noise,y_noise,z_noise,object_id,color,color.1,color.2,id,x,y,z
0.082,5.163,-0.164,13.318,13.169,11.695,5.662,-2.146,22081.0,204.0,204.0,204.0,0.0,11.826,5.726,2.83
0.082,5.163,-0.155,13.303,13.217,11.754,5.69,-2.042,22081.0,6.0,6.0,6.0,0.0,11.83,5.727,2.944
0.082,5.163,-0.216,13.456,13.471,11.844,5.734,-2.886,22081.0,204.0,204.0,204.0,0.0,11.83,5.728,2.117
0.082,5.163,-0.209,13.435,13.512,11.897,5.76,-2.802,22081.0,204.0,204.0,204.0,0.0,11.83,5.727,2.214
0.082,5.166,-0.124,13.285,13.323,11.882,5.797,-1.65,22081.0,6.0,6.0,6.0,0.0,11.848,5.78,3.355
0.082,5.166,-0.119,13.294,13.29,11.86,5.786,-1.58,22081.0,6.0,6.0,6.0,0.0,11.863,5.788,3.42
0.082,5.166,-0.113,13.314,13.229,11.813,5.763,-1.495,22081.0,6.0,6.0,6.0,0.0,11.889,5.8,3.495
0.082,5.166,-0.106,13.363,13.43,12.002,5.855,-1.426,22081.0,204.0,204.0,204.0,0.0,11.942,5.826,3.581
0.082,5.166,-0.149,13.288,13.289,11.811,5.762,-1.971,22081.0,6.0,6.0,6.0,0.0,11.811,5.762,3.029
0.082,5.166,-0.142,13.282,13.256,11.793,5.754,-1.882,22081.0,6.0,6.0,6.0,0.0,11.817,5.765,3.114
0.082,5.166,-0.102,13.491,13.529,12.096,5.901,-1.377,22081.0,204.0,204.0,204.0,0.0,12.062,5.885,3.627
0.082,5.166,-0.095,14.399,14.441,12.92,6.303,-1.377,22081.0,204.0,204.0,204.0,0.0,12.882,6.285,3.627
0.082,5.166,-0.137,13.28,13.297,11.838,5.776,-1.816,22081.0,6.0,6.0,6.0,0.0,11.823,5.768,3.186
0.082,5.166,-0.131,13.279,13.203,11.764,5.739,-1.73,22081.0,6.0,6.0,6.0,0.0,11.832,5.772,3.26
0.082,5.166,-0.088,15.708,15.668,14.027,6.843,-1.38,22081.0,204.0,204.0,204.0,0.0,14.063,6.861,3.616
0.082,5.166,-0.084,16.767,16.67,14.929,7.284,-1.394,22081.0,204.0,204.0,204.0,0.0,15.016,7.326,3.598
0.082,5.166,-0.198,13.398,13.349,11.763,5.739,-2.627,22081.0,204.0,204.0,204.0,0.0,11.805,5.76,2.363
0.082,5.166,-0.188,13.37,13.348,11.785,5.749,-2.496,22081.0,204.0,204.0,204.0,0.0,11.804,5.759,2.5
0.082,5.166,-0.28,13.765,13.679,11.816,5.765,-3.774,22081.0,204.0,204.0,204.0,0.0,11.891,5.802,1.202
0.082,5.166,-0.27,13.651,13.679,11.848,5.78,-3.654,22081.0,204.0,204.0,204.0,0.0,11.823,5.768,1.3530000000000002
0.082,5.166,-0.262,13.609,13.588,11.795,5.754,-3.52,22081.0,204.0,204.0,204.0,0.0,11.813,5.763,1.475
0.082,5.166,-0.252,13.595,13.614,11.848,5.78,-3.401,22081.0,72.0,204.0,204.0,0.0,11.831,5.772,1.604
0.082,5.166,-0.241,13.55,13.635,11.899,5.805,-3.259,22081.0,204.0,204.0,204.0,0.0,11.825,5.769,1.7610000000000001
0.082,5.166,-0.18,13.35,13.383,11.833,5.773,-2.401,22081.0,204.0,204.0,204.0,0.0,11.803,5.758,2.605
0.082,5.166,-0.172,13.328,13.289,11.768,5.741,-2.27,22081.0,204.0,204.0,204.0,0.0,11.803,5.758,2.723
0.082,5.166,-0.231,13.504,13.462,11.778,5.746,-3.081,22081.0,204.0,204.0,204.0,0.0,11.814,5.764,1.9100000000000001
0.082,5.166,-0.225,13.481,13.491,11.819,5.766,-3.011,22081.0,204.0,204.0,204.0,0.0,11.81,5.762,1.991
0.082,5.166,-0.164,13.311,13.158,11.668,5.692,-2.144,22081.0,204.0,204.0,204.0,0.0,11.803,5.759,2.831
0.082,5.166,-0.155,13.297,13.22,11.739,5.727,-2.043,22081.0,6.0,6.0,6.0,0.0,11.807,5.76,2.945
0.082,5.166,-0.216,13.45,13.441,11.799,5.757,-2.88,22081.0,204.0,204.0,204.0,0.0,11.807,5.76,2.118
0.082,5.166,-0.209,13.429,13.485,11.856,5.784,-2.797,22081.0,204.0,204.0,204.0,0.0,11.807,5.76,2.215
0.082,5.169,-0.124,13.279,13.325,11.866,5.833,-1.65,22081.0,6.0,6.0,6.0,0.0,11.825,5.813,3.355
0.082,5.169,-0.119,13.288,13.343,11.89,5.845,-1.586,22081.0,6.0,6.0,6.0,0.0,11.841,5.821,3.4210000000000003
0.082,5.169,-0.113,13.308,13.211,11.779,5.791,-1.493,22081.0,6.0,6.0,6.0,0.0,11.866,5.834,3.496
0.082,5.169,-0.106,13.357,13.429,11.983,5.891,-1.426,22081.0,204.0,204.0,204.0,0.0,11.919,5.859,3.581
0.082,5.169,-0.149,13.282,13.32,11.822,5.812,-1.975,22081.0,6.0,6.0,6.0,0.0,11.788,5.795,3.0300000000000002
0.082,5.169,-0.142,13.276,13.269,11.787,5.795,-1.884,22081.0,6.0,6.0,6.0,0.0,11.794,5.798,3.115
0.082,5.169,-0.102,13.469,13.538,12.086,5.942,-1.378,22081.0,204.0,204.0,204.0,0.0,12.025,5.911,3.629
0.082,5.169,-0.095,14.347,14.342,12.812,6.299,-1.368,22081.0,204.0,204.0,204.0,0.0,12.817,6.301,3.6319999999999997
0.082,5.169,-0.137,13.273,13.3,11.824,5.813,-1.817,22081.0,6.0,6.0,6.0,0.0,11.8,5.801,3.1870000000000003
0.082,5.169,-0.131,13.273,13.224,11.765,5.784,-1.733,22081.0,6.0,6.0,6.0,0.0,11.809,5.805,3.261
0.082,5.169,-0.088,15.576,15.513,13.867,6.817,-1.366,22081.0,204.0,204.0,204.0,0.0,13.924,6.845,3.628
0.082,5.169,-0.084,16.468,16.434,14.696,7.225,-1.374,22081.0,204.0,204.0,204.0,0.0,14.727,7.24,3.623
0.082,5.169,-0.077,18.161,18.25,16.329,8.027,-1.412,22081.0,204.0,204.0,204.0,0.0,16.249,7.988,3.5949999999999998
0.082,5.169,-0.198,13.393,13.262,11.669,5.737,-2.61,22081.0,204.0,204.0,204.0,0.0,11.784,5.793,2.364
0.082,5.169,-0.188,13.365,13.413,11.825,5.813,-2.508,22081.0,204.0,204.0,204.0,0.0,11.783,5.793,2.501
0.082,5.169,-0.28,13.757,13.65,11.774,5.788,-3.766,22081.0,204.0,204.0,204.0,0.0,11.867,5.834,1.205
0.082,5.169,-0.27,13.645,13.65,11.805,5.803,-3.646,22081.0,204.0,204.0,204.0,0.0,11.8,5.801,1.355
0.082,5.169,-0.262,13.604,13.607,11.795,5.798,-3.525,22081.0,204.0,204.0,204.0,0.0,11.791,5.797,1.476
0.082,5.169,-0.252,13.593,13.59,11.81,5.806,-3.395,22081.0,204.0,204.0,204.0,0.0,11.812,5.807,1.604
0.082,5.169,-0.241,13.544,13.608,11.858,5.83,-3.252,22081.0,204.0,204.0,204.0,0.0,11.803,5.802,1.763
0.082,5.169,-0.18,13.345,13.379,11.812,5.807,-2.4,22081.0,204.0,204.0,204.0,0.0,11.782,5.792,2.606
0.082,5.169,-0.172,13.324,13.281,11.743,5.773,-2.269,22081.0,204.0,204.0,204.0,0.0,11.781,5.792,2.724
